               REPORTE DE PRUEBA DE PEDIDOS
==========================================================
  FECHA         DNI        CANTIDAD     CODIGO PRODUCTO     
21/08/2023    90365520         1           OPJ-039   
21/08/2023    77191257         5           BWD-036   
21/08/2023    69639726         3           OPT-996   
21/08/2023    11602775         4           CIM-038   
21/08/2023    32565207         6           ZWF-661   
21/08/2023    49087435         2           VDD-853   
21/08/2023    49087435         1           PJG-338   
21/08/2023    45877001         4           VVS-017   
21/08/2023    79140840         5           TMN-884   
21/08/2023    98140264         4           QHC-492   
21/08/2023    91897732         1           WLL-607   
21/08/2023    90365520         6           KWP-672   
21/08/2023    71984468         5           JJN-837   
21/08/2023    49087435         1           SJQ-827   
21/08/2023    15210391         1           HFM-021   
21/08/2023    17913944         4           IHG-413   
21/08/2023    17972674         1           UTN-601   
21/08/2023    90237332         5           PVZ-181   
21/08/2023    49087435         6           XZR-640   
21/08/2023    37110873         2           UWA-476   
21/08/2023    25171011         1           VCL-867   
21/08/2023    85949265         6           TMJ-043   
21/08/2023    85949265         2           YUQ-590   
21/08/2023    26233063         2           ZAF-449   
21/08/2023    43043986         3           TXM-139   
21/08/2023    29337157         3           ZEX-027   
21/08/2023    38913831         3           JFC-432   
21/08/2023    83505958         3           EJW-346   
21/08/2023    11602775         6           TMJ-043   
21/08/2023    45783712         3           QFR-958   
21/08/2023    17913944         5           YJD-279   
21/08/2023    81114108         4           VRR-793   
21/08/2023    81114108         5           DUG-251   
21/08/2023    55552996         1           FQG-293   
21/08/2023    50365593         1           TZY-323   
21/08/2023    57690875         5           CSZ-863   
21/08/2023    32904023         3           SAM-013   
21/08/2023    40348917         3           WZD-331   
21/08/2023    40112594         3           EBI-299   
21/08/2023    40348917         2           FLJ-040   
21/08/2023    44229880         5           HLR-109   
21/08/2023    62566305         4           TYF-885   
21/08/2023    58187172         2           VXS-438   
21/08/2023    71463316         6           QFP-254   
21/08/2023    15561764         4           RAH-420   
21/08/2023    89429489         1           VXS-438   
21/08/2023    95161027         5           TZY-323   
22/08/2023    77484838         6           YUQ-590   
22/08/2023    32821689         1           ISU-815   
22/08/2023    27912250         4           LWG-915   
22/08/2023    26290971         5           TZY-323   
22/08/2023    73535476         3           CIM-038   
22/08/2023    15210391         5           RSE-049   
22/08/2023    35584593         1           KCO-488   
22/08/2023    25171011         6           OPT-996   
22/08/2023    78078115         3           TMJ-043   
22/08/2023    78757121         4           ZXK-295   
22/08/2023    38913831         1           YZD-580   
22/08/2023    94080926         5           OTW-288   
22/08/2023    87800799         1           QRC-609   
22/08/2023    77191257         6           AVM-258   
22/08/2023    66409237         5           ICX-503   
22/08/2023    52097922         2           MMA-577   
22/08/2023    78078115         2           DFF-034   
22/08/2023    76388967         6           RSE-049   
22/08/2023    64394265         6           YYK-309   
22/08/2023    84165595         4           QHC-492   
22/08/2023    77484838         4           BTO-226   
22/08/2023    78757121         3           OQI-373   
22/08/2023    71984468         2           PQH-935   
22/08/2023    93845419         2           NSR-955   
22/08/2023    43488351         5           XLF-273   
22/08/2023    80048864         3           BWD-036   
22/08/2023    36008913         6           HFC-845   
22/08/2023    78078115         5           XZR-640   
22/08/2023    89298238         3           QTK-083   
22/08/2023    37110873         2           GXF-122   
22/08/2023    86241107         3           HFC-845   
22/08/2023    27912250         1           LWG-915   
22/08/2023    15561764         6           JYQ-045   
22/08/2023    20864087         1           SPR-580   
22/08/2023    16151792         3           WZD-331   
22/08/2023    95161027         2           VJI-529   
23/08/2023    43488351         6           QTK-083   
23/08/2023    81114108         3           OFS-384   
23/08/2023    87813843         6           LDR-510   
23/08/2023    93160528         5           BRD-969   
23/08/2023    50365593         6           ZVA-180   
23/08/2023    12663268         5           QFP-254   
23/08/2023    81114108         4           BCN-855   
23/08/2023    29337157         6           QHC-492   
23/08/2023    78078115         2           PJG-338   
23/08/2023    93160528         3           QTK-083   
23/08/2023    79372768         1           SAM-013   
23/08/2023    31193794         1           JDC-028   
23/08/2023    55552996         1           AQS-362   
23/08/2023    76388967         6           CNQ-172   
23/08/2023    89298238         2           PFD-286   
23/08/2023    22280452         5           VRR-793   
23/08/2023    79464412         6           MTF-868   
23/08/2023    23928045         2           LWG-915   
23/08/2023    89148118         6           TKM-141   
23/08/2023    89298238         1           YOT-530   
23/08/2023    77642521         2           YYU-726   
23/08/2023    89429489         1           QUU-384   
23/08/2023    83236386         1           OFS-384   
23/08/2023    73185299         5           QFP-254   
23/08/2023    69324480         3           VXS-438   
23/08/2023    78922174         2           XBD-314   
23/08/2023    64394265         5           OTW-288   
23/08/2023    90237332         4           PFD-286   
24/08/2023    50375303         6           JXD-139   
24/08/2023    45783712         1           VZV-827   
24/08/2023    79464412         4           JXD-139   
24/08/2023    26290971         3           TYF-885   
24/08/2023    35565959         5           VJI-529   
24/08/2023    50365593         3           VVS-017   
24/08/2023    25171011         3           QRC-609   
24/08/2023    26976877         5           AFL-718   
24/08/2023    79901434         2           OXP-732   
24/08/2023    43877279         4           SSD-176   
24/08/2023    88956889         1           TMN-884   
24/08/2023    87800799         5           JDC-028   
24/08/2023    97403853         5           BCK-361   
24/08/2023    73914283         4           OBI-353   
24/08/2023    59162728         4           FEG-454   
24/08/2023    45877001         5           RDT-761   
24/08/2023    15210391         3           OTW-288   
24/08/2023    54761731         5           FVB-607   
24/08/2023    95015539         2           CSZ-863   
24/08/2023    33713901         6           ZVA-180   
24/08/2023    89148118         5           JFC-432   
24/08/2023    46462527         6           ISU-815   
24/08/2023    45828535         2           AVM-258   
24/08/2023    42928709         6           GLC-370   
24/08/2023    78078115         1           SSD-176   
24/08/2023    13245501         1           AWB-345   
24/08/2023    11602775         2           JJN-837   
24/08/2023    86402303         3           OQI-373   
24/08/2023    12663268         3           AHB-459   
24/08/2023    24995742         4           KCO-488   
24/08/2023    36380447         5           OWN-701   
24/08/2023    85949265         6           LDR-510   
25/08/2023    96258632         5           EBI-299   
25/08/2023    87800799         2           EUZ-452   
25/08/2023    71378466         1           OQI-373   
25/08/2023    87800799         2           KWP-672   
25/08/2023    88995291         2           HLR-109   
25/08/2023    52097922         5           GBD-525   
25/08/2023    35565959         4           CIM-038   
25/08/2023    67418025         1           QUU-384   
25/08/2023    95751208         3           BWD-036   
25/08/2023    26976877         2           JXD-139   
25/08/2023    77642521         5           QUU-384   
25/08/2023    79140840         2           TYF-885   
25/08/2023    57263719         5           YOT-530   
25/08/2023    62324793         5           YJD-279   
25/08/2023    93845419         5           AWB-345   
25/08/2023    87800799         2           ICX-503   
25/08/2023    19829266         2           UXG-019   
25/08/2023    57263719         6           TZY-323   
25/08/2023    93160528         2           DUG-251   
25/08/2023    79901434         3           AHB-459   
25/08/2023    50375303         2           SJQ-827   
25/08/2023    32821689         5           MMA-577   
25/08/2023    42798099         6           RDT-761   
25/08/2023    11602775         4           XLF-273   
25/08/2023    49087435         1           AFL-718   
25/08/2023    73786035         1           AQS-362   
25/08/2023    45783712         5           SNY-500   
25/08/2023    16151792         1           CNQ-172   
25/08/2023    62566305         4           DIQ-718   
25/08/2023    13245501         1           ZWF-661   
25/08/2023    40348917         4           SNY-500   
25/08/2023    73535476         2           LDR-510   
25/08/2023    83236386         2           MTF-868   
25/08/2023    58187172         6           KBY-991   
25/08/2023    77484838         3           YGV-332   
26/08/2023    26976877         3           XZG-521   
26/08/2023    54761731         3           DEV-433   
26/08/2023    27912250         1           ICX-503   
26/08/2023    42157219         6           KWP-672   
26/08/2023    24995742         1           BWD-036   
26/08/2023    54761731         1           VZV-827   
26/08/2023    38637282         6           FLJ-040   
26/08/2023    29337157         4           WZD-331   
26/08/2023    78922174         5           AFL-718   
26/08/2023    90365520         6           EUZ-452   
26/08/2023    11602775         1           JJN-837   
26/08/2023    73535476         4           KJX-387   
26/08/2023    86828079         3           MQR-442   
26/08/2023    13245501         6           HFC-845   
26/08/2023    57690875         4           XLF-273   
26/08/2023    77191257         3           TZY-323   
26/08/2023    79475585         5           BWD-036   
26/08/2023    49087435         3           BCK-361   
26/08/2023    54761731         4           ZVA-180   
26/08/2023    27912250         3           FLJ-040   
26/08/2023    78757121         1           GXF-122   
26/08/2023    42157219         6           III-576   
26/08/2023    71378466         4           BIT-434   
26/08/2023    32904023         1           KQQ-136   
26/08/2023    83505958         1           MQR-442   
26/08/2023    99842319         1           ZAF-449   
26/08/2023    59407188         5           RDT-761   
26/08/2023    57263719         5           ZWF-661   
26/08/2023    95161027         5           VVS-017   
26/08/2023    45828535         6           QJO-060   
26/08/2023    78757121         4           ARS-231   
26/08/2023    81114108         1           VCL-867   
26/08/2023    77484838         1           AFL-718   
26/08/2023    31611146         1           XSD-310   
26/08/2023    17972674         4           UWA-476   
26/08/2023    40348917         3           VRR-793   
26/08/2023    94080926         2           CIM-038   
26/08/2023    83236386         2           OPT-996   
26/08/2023    86402303         3           OQI-373   
26/08/2023    79901434         2           TXM-139   
27/08/2023    91897732         2           OXP-732   
27/08/2023    45877001         5           GBJ-693   
27/08/2023    78078115         2           XOA-735   
27/08/2023    86828079         1           YGV-332   
27/08/2023    73185299         3           QUU-384   
27/08/2023    96659352         6           KQA-580   
27/08/2023    43053402         2           YOT-530   
27/08/2023    55552996         6           SSD-176   
27/08/2023    26976877         3           KQQ-136   
27/08/2023    40112594         6           KSO-608   
27/08/2023    79140840         1           HLR-109   
27/08/2023    41036366         2           AQS-362   
27/08/2023    66409237         4           CRU-009   
27/08/2023    90237332         1           OQI-373   
27/08/2023    78922174         3           OQI-373   
27/08/2023    79140840         3           DFF-034   
27/08/2023    43877279         4           SNY-500   
27/08/2023    11602775         3           YYK-309   
27/08/2023    54716824         6           CRU-009   
27/08/2023    38637282         1           OFS-384   
27/08/2023    87813843         4           MLE-193   
27/08/2023    15561764         2           FYF-898   
27/08/2023    73914283         1           OBI-353   
